frame,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.5003483891487122,0.2526889443397522,-0.4489571452140808,0.9976284503936768,0.4950568675994873,0.24275736510753632,-0.4443485140800476,0.9962417483329773,0.4953722357749939,0.24258866906166077,-0.44451433420181274,0.9964594841003418,0.4999829828739166,0.24443843960762024,-0.44469332695007324,0.9971030950546265,0.49237602949142456,0.24812941253185272,-0.45476236939430237,0.9945486187934875,0.49176111817359924,0.24860963225364685,-0.4548364579677582,0.9937424659729004,0.4910816550254822,0.24904033541679382,-0.4548884332180023,0.9941431283950806,0.5050565600395203,0.2402118742465973,-0.34751760959625244,0.992904007434845,0.4866138994693756,0.25101202726364136,-0.3861980438232422,0.9870333075523376,0.5035274624824524,0.26381146907806396,-0.40403875708580017,0.9958135485649109,0.5008330941200256,0.26458585262298584,-0.41532230377197266,0.9938275218009949,0.5536585450172424,0.28591758012771606,-0.1854742169380188,0.9993688464164734,0.46672549843788147,0.2943957448005676,-0.352657675743103,0.9983705878257751,0.55361008644104,0.36089545488357544,-0.13785798847675323,0.9450200796127319,0.4992941915988922,0.36496713757514954,-0.3666895925998688,0.30781492590904236,0.5527068376541138,0.4356387257575989,-0.25449028611183167,0.8738044500350952,0.5208571553230286,0.3921332359313965,-0.42708641290664673,0.2570103406906128,0.5473438501358032,0.45092663168907166,-0.2822328507900238,0.8377156257629395,0.5205196142196655,0.40324467420578003,-0.47825589776039124,0.24821799993515015,0.539496660232544,0.447319895029068,-0.32569992542266846,0.8356538414955139,0.5223490595817566,0.40507426857948303,-0.49345293641090393,0.24875998497009277,0.5397958159446716,0.43666738271713257,-0.2750130593776703,0.8234956860542297,0.525748610496521,0.3934019207954407,-0.43558889627456665,0.2508425712585449,0.5099791288375854,0.45445913076400757,0.051130473613739014,0.9996391534805298,0.4753723740577698,0.4562661647796631,-0.051093876361846924,0.9995060563087463,0.5556455850601196,0.5778077244758606,0.10265187919139862,0.8725742697715759,0.4626142382621765,0.5792938470840454,-0.027398278936743736,0.5770163536071777,0.571077287197113,0.6980429887771606,0.26940837502479553,0.9430280923843384,0.437858521938324,0.6983053088188171,0.1392834335565567,0.7631638646125793,0.560875654220581,0.7112798094749451,0.2790146470069885,0.8854836821556091,0.43412142992019653,0.7160831689834595,0.14904630184173584,0.7775353193283081,0.5905240178108215,0.7291850447654724,0.1505742371082306,0.9243294596672058,0.42969822883605957,0.7360936403274536,0.01401403546333313,0.780369758605957
1,0.49071139097213745,0.2752947211265564,-0.5711122751235962,0.9976679682731628,0.4957835078239441,0.26076334714889526,-0.5605589151382446,0.9962241053581238,0.4991320073604584,0.2603139877319336,-0.5605677962303162,0.9963889122009277,0.5027061104774475,0.2598055601119995,-0.5606061220169067,0.9970748424530029,0.48681673407554626,0.26221227645874023,-0.5637590885162354,0.9946711659431458,0.4834853708744049,0.26085227727890015,-0.5638614892959595,0.9938653707504272,0.4803827404975891,0.25982171297073364,-0.5638679265975952,0.9943104386329651,0.5097246170043945,0.25672438740730286,-0.42106932401657104,0.9926204085350037,0.4753495752811432,0.25764501094818115,-0.4315992295742035,0.9873147010803223,0.49844804406166077,0.279878705739975,-0.5105087757110596,0.9959162473678589,0.4864996373653412,0.2785390019416809,-0.5137340426445007,0.9940296411514282,0.5539537668228149,0.29032033681869507,-0.24915918707847595,0.9994215369224548,0.4489096999168396,0.30102938413619995,-0.31186819076538086,0.998504102230072,0.5597391724586487,0.34456580877304077,-0.17478470504283905,0.9438891410827637,0.4574246406555176,0.3674463927745819,-0.29035523533821106,0.37034061551094055,0.551161527633667,0.4228150248527527,-0.2506841719150543,0.8727165460586548,0.5026469826698303,0.4329589009284973,-0.3778565227985382,0.31939709186553955,0.5519051551818848,0.4460217356681824,-0.2803369164466858,0.8332672119140625,0.5110681653022766,0.45380347967147827,-0.4195449948310852,0.3071044683456421,0.5434673428535461,0.4355267584323883,-0.317806601524353,0.8321260213851929,0.5182066559791565,0.4470255970954895,-0.44203895330429077,0.3082142174243927,0.5407962203025818,0.43345826864242554,-0.2661074101924896,0.8185021877288818,0.517349123954773,0.4387550950050354,-0.3873506486415863,0.306209534406662,0.5354761481285095,0.45312342047691345,0.01542067714035511,0.9996442794799805,0.4748653471469879,0.45501095056533813,-0.01539362408220768,0.9995220303535461,0.5634509325027466,0.5831042528152466,-0.019211115315556526,0.8840757012367249,0.45976072549819946,0.5825737714767456,-0.04212700575590134,0.6178303956985474,0.5754902958869934,0.7046003937721252,0.14000707864761353,0.9474690556526184,0.4348757266998291,0.6974932551383972,0.10987517982721329,0.7856753468513489,0.5689223408699036,0.7200361490249634,0.14596207439899445,0.8866099715232849,0.4339439868927002,0.712893009185791,0.1148291826248169,0.7871106266975403,0.5937012434005737,0.7372175455093384,-0.0285837110131979,0.9302875399589539,0.4370487630367279,0.7428125143051147,-0.06334347277879715,0.8006864190101624
2,0.49343961477279663,0.27784889936447144,-0.6628538370132446,0.997764527797699,0.4988985061645508,0.26411962509155273,-0.6540271043777466,0.9963148832321167,0.5039891600608826,0.26323235034942627,-0.6540672183036804,0.9964370131492615,0.5081884860992432,0.26220542192459106,-0.6541188955307007,0.9971263408660889,0.48526591062545776,0.2650981843471527,-0.6540067195892334,0.9949115514755249,0.4814082980155945,0.26634714007377625,-0.6541401147842407,0.9941415786743164,0.4774715304374695,0.2656654119491577,-0.6541731357574463,0.9945966005325317,0.5137549638748169,0.2576899528503418,-0.5128348469734192,0.992592453956604,0.4743354916572571,0.2614535093307495,-0.5094473361968994,0.9878894686698914,0.505160927772522,0.28280889987945557,-0.6008835434913635,0.9960525631904602,0.48666316270828247,0.28331154584884644,-0.6000573039054871,0.9942606091499329,0.5598115921020508,0.29321783781051636,-0.33862727880477905,0.9994592070579529,0.44947344064712524,0.30484628677368164,-0.370919793844223,0.9986165761947632,0.5616638660430908,0.36685672402381897,-0.293759286403656,0.9437053799629211,0.465827614068985,0.38850030303001404,-0.35735756158828735,0.4250345528125763,0.5480399131774902,0.44670701026916504,-0.39640912413597107,0.8740972280502319,0.5066359043121338,0.444505512714386,-0.4736325740814209,0.37372100353240967,0.5483632683753967,0.4678407311439514,-0.43445268273353577,0.8333253264427185,0.5135288834571838,0.46523433923721313,-0.5206387042999268,0.35850608348846436,0.5393936634063721,0.4581691324710846,-0.4704527258872986,0.8328653573989868,0.5202743411064148,0.45850688219070435,-0.5466873645782471,0.36025556921958923,0.5377298593521118,0.450268417596817,-0.41172081232070923,0.8174949288368225,0.5203174948692322,0.45031705498695374,-0.48526662588119507,0.35450926423072815,0.5392295122146606,0.45147544145584106,0.009165983647108078,0.9995945692062378,0.47697800397872925,0.45428237318992615,-0.009126783348619938,0.9994460940361023,0.5639072060585022,0.5839349031448364,-0.01722531020641327,0.8939675688743591,0.46308937668800354,0.5858607888221741,-0.03381245210766792,0.6539707779884338,0.575286865234375,0.702433168888092,0.14684514701366425,0.9509804248809814,0.43455395102500916,0.699277400970459,0.1434742510318756,0.8047935366630554,0.5690826177597046,0.7171899080276489,0.15371552109718323,0.8840940594673157,0.4326932430267334,0.7117069959640503,0.15189450979232788,0.7870325446128845,0.5946334004402161,0.7375279664993286,-0.025176042690873146,0.9347922205924988,0.43784087896347046,0.7417060732841492,-0.023495234549045563,0.8173865079879761
3,0.49212127923965454,0.2771119475364685,-0.688684344291687,0.997937798500061,0.49835091829299927,0.2649214267730713,-0.6808202862739563,0.9965738654136658,0.50400710105896,0.2645763158798218,-0.6808669567108154,0.9966709613800049,0.5085641741752625,0.26381486654281616,-0.6809016466140747,0.9973183870315552,0.4849492907524109,0.26437878608703613,-0.6795363426208496,0.9953088760375977,0.48126235604286194,0.26349663734436035,-0.6796520352363586,0.9945944547653198,0.477395236492157,0.2625330090522766,-0.6796531081199646,0.9950255155563354,0.5141809582710266,0.25621676445007324,-0.5381231904029846,0.993035078048706,0.47334662079811096,0.2607903480529785,-0.5294959545135498,0.9888404607772827,0.5031436681747437,0.28350669145584106,-0.625845730304718,0.9963573217391968,0.48514604568481445,0.2829446494579315,-0.6235314607620239,0.9947211742401123,0.5586941838264465,0.29207026958465576,-0.3647804260253906,0.9995052218437195,0.4448164105415344,0.3026123642921448,-0.3797442317008972,0.998742401599884,0.5708329081535339,0.36736196279525757,-0.3435709774494171,0.9467815160751343,0.45911985635757446,0.3836926817893982,-0.3733501136302948,0.4781172573566437,0.5457558631896973,0.42729467153549194,-0.4684534966945648,0.8818840980529785,0.496407687664032,0.4355596899986267,-0.5077319145202637,0.4297107458114624,0.5478903651237488,0.44659480452537537,-0.512805163860321,0.8417010307312012,0.5128933787345886,0.4611498713493347,-0.5569256544113159,0.41274040937423706,0.5380077362060547,0.4387074410915375,-0.5451714992523193,0.8414408564567566,0.520951509475708,0.45408979058265686,-0.5827792286872864,0.4147104024887085,0.5352308750152588,0.4319133758544922,-0.4826016426086426,0.8252821564674377,0.5204285383224487,0.44581589102745056,-0.5194860696792603,0.4065690040588379,0.5364668965339661,0.44908803701400757,0.004722615238279104,0.9995868802070618,0.4754134714603424,0.45261144638061523,-0.004681663122028112,0.9994368553161621,0.5602741241455078,0.5809093117713928,-0.038226306438446045,0.9034407734870911,0.4614323675632477,0.5859538316726685,-0.045300718396902084,0.6872062683105469,0.573241114616394,0.6997360587120056,0.13193540275096893,0.9546637535095215,0.43570178747177124,0.7041959762573242,0.1337326467037201,0.8230332732200623,0.5675413608551025,0.7155603170394897,0.13898800313472748,0.8843331336975098,0.43661969900131226,0.717812180519104,0.14167994260787964,0.791875422000885,0.5900430083274841,0.7311026453971863,-0.042563606053590775,0.9395681619644165,0.431505024433136,0.7426952123641968,-0.039719969034194946,0.8336994051933289
4,0.493180513381958,0.27748197317123413,-0.7282594442367554,0.9981042146682739,0.49722328782081604,0.2633112967014313,-0.7206996083259583,0.9968212842941284,0.5025516748428345,0.2624865472316742,-0.7207452654838562,0.9969015717506409,0.5068047046661377,0.2614237666130066,-0.7207740545272827,0.9975072741508484,0.48503121733665466,0.26686710119247437,-0.7200430631637573,0.9956863522529602,0.48162317276000977,0.26646149158477783,-0.7201722860336304,0.9950328469276428,0.4783717691898346,0.2659798860549927,-0.7201884388923645,0.9954370856285095,0.5129285454750061,0.25716567039489746,-0.578321635723114,0.9934856295585632,0.4740181863307953,0.2642422318458557,-0.5713708996772766,0.9897514581680298,0.5053446292877197,0.28235751390457153,-0.6654672622680664,0.996644139289856,0.4889560639858246,0.2840127944946289,-0.6636088490486145,0.9951415657997131,0.5585159659385681,0.2898731231689453,-0.39340993762016296,0.9995476603507996,0.45030125975608826,0.30955737829208374,-0.4168144166469574,0.9988558292388916,0.5669562816619873,0.3600260019302368,-0.3398876488208771,0.9499727487564087,0.46900931000709534,0.3946996033191681,-0.40351563692092896,0.5259802937507629,0.5466970205307007,0.4317685663700104,-0.42072543501853943,0.8885716199874878,0.5083879232406616,0.4454985558986664,-0.5202912092208862,0.4804916977882385,0.5462701320648193,0.45127859711647034,-0.4571535587310791,0.847916841506958,0.5211132168769836,0.4675447344779968,-0.5695361495018005,0.46217507123947144,0.5368430018424988,0.4485591948032379,-0.49186521768569946,0.847817063331604,0.5284454226493835,0.46016305685043335,-0.594029426574707,0.46427035331726074,0.5352685451507568,0.4413788318634033,-0.4346371293067932,0.8309566974639893,0.5281229019165039,0.4521414637565613,-0.5312700867652893,0.4540810286998749,0.5363067984580994,0.4447653889656067,0.003963107243180275,0.9995878338813782,0.4766853451728821,0.4486440122127533,-0.0038958359509706497,0.9994340538978577,0.5600340962409973,0.5810297727584839,-0.03575794771313667,0.9119443297386169,0.46396154165267944,0.5840332508087158,-0.04443260282278061,0.7171329855918884,0.5731149911880493,0.7009161710739136,0.12204490602016449,0.958052396774292,0.43558043241500854,0.7033238410949707,0.1344779133796692,0.8392893075942993,0.5675588846206665,0.7167503833770752,0.1277601718902588,0.8843038082122803,0.4352932572364807,0.7163869738578796,0.14252541959285736,0.7960388660430908,0.5893402695655823,0.7310659289360046,-0.060739535838365555,0.9439653754234314,0.4376388192176819,0.741347074508667,-0.03967057168483734,0.8482810258865356
5,0.4928949475288391,0.27348771691322327,-0.727064311504364,0.9982624053955078,0.4971778988838196,0.25849777460098267,-0.7178269624710083,0.9970690608024597,0.5014438629150391,0.2573729157447815,-0.7178773283958435,0.9971343874931335,0.5068061351776123,0.25665348768234253,-0.7178929448127747,0.9976966381072998,0.4850960671901703,0.2624552845954895,-0.7182266116142273,0.9960493445396423,0.4816439747810364,0.2624695301055908,-0.7183491587638855,0.9954506158828735,0.4778277277946472,0.2624383568763733,-0.7183601260185242,0.9958266019821167,0.5135038495063782,0.2545059323310852,-0.5712769627571106,0.9939265251159668,0.47433939576148987,0.2602730393409729,-0.5687885880470276,0.990610659122467,0.5044375061988831,0.279221773147583,-0.6630744338035583,0.996907114982605,0.48659825325012207,0.2798575460910797,-0.6625646352767944,0.9955329298973083,0.5589556694030762,0.29385387897491455,-0.3865063190460205,0.9995840787887573,0.4479166865348816,0.308257520198822,-0.4247226119041443,0.9989574551582336,0.559856653213501,0.3721335530281067,-0.36283236742019653,0.9520183205604553,0.46954089403152466,0.3955775201320648,-0.4242280125617981,0.5698773264884949,0.5442230701446533,0.43422549962997437,-0.48021841049194336,0.8945257663726807,0.513233482837677,0.4465014338493347,-0.5449786186218262,0.5275745391845703,0.543368935585022,0.44786620140075684,-0.5220648646354675,0.8541985750198364,0.5207958221435547,0.4658210873603821,-0.595734715461731,0.5084262490272522,0.5372018814086914,0.446676105260849,-0.5550776720046997,0.8542207479476929,0.5277331471443176,0.4586884379386902,-0.6201582551002502,0.5105642676353455,0.5343133211135864,0.438835084438324,-0.49473387002944946,0.8367201685905457,0.5274514555931091,0.4508844017982483,-0.556074857711792,0.4990362823009491,0.5345401763916016,0.4450429379940033,0.012047093361616135,0.9995833039283752,0.47565093636512756,0.44798412919044495,-0.011915032751858234,0.9994266629219055,0.5605025291442871,0.5810518264770508,-0.02241644077003002,0.9195064902305603,0.4620041251182556,0.582747757434845,-0.04724514111876488,0.7441390752792358,0.5744868516921997,0.7016648650169373,0.1372118443250656,0.9609603881835938,0.4355374276638031,0.7017483711242676,0.13012072443962097,0.8539100885391235,0.5689288973808289,0.7176601886749268,0.14299070835113525,0.8831411004066467,0.4350516200065613,0.7136093974113464,0.1380656510591507,0.7970992922782898,0.5945261120796204,0.7306570410728455,-0.0419759564101696,0.9477543234825134,0.4371439516544342,0.7435805201530457,-0.04357233643531799,0.8613267540931702
6,0.49280062317848206,0.2761290669441223,-0.6070927381515503,0.9982918500900269,0.4970293641090393,0.2638631761074066,-0.5983158349990845,0.9970806241035461,0.501443088054657,0.25870388746261597,-0.5983479022979736,0.9971089959144592,0.5053131580352783,0.2575576901435852,-0.5983685255050659,0.9976716637611389,0.4857063889503479,0.26517024636268616,-0.5984491109848022,0.9961639642715454,0.48276758193969727,0.26487141847610474,-0.5985745191574097,0.9955873489379883,0.4797508120536804,0.26453936100006104,-0.5985986590385437,0.9959710836410522,0.5116466283798218,0.255110502243042,-0.4613063335418701,0.9937940239906311,0.4755423665046692,0.26406097412109375,-0.4579537510871887,0.9909701347351074,0.5026425123214722,0.2790996730327606,-0.5467046499252319,0.9969578981399536,0.4883248209953308,0.2827557921409607,-0.5458927750587463,0.995650053024292,0.5566359758377075,0.28934013843536377,-0.29860228300094604,0.9996030926704407,0.44754308462142944,0.3095772862434387,-0.3335359990596771,0.9990319013595581,0.5582891702651978,0.3594721555709839,-0.2925262749195099,0.9501432776451111,0.4662352502346039,0.3845590353012085,-0.3706724941730499,0.6039835214614868,0.5395524501800537,0.41588783264160156,-0.4243091642856598,0.8928821682929993,0.5065951347351074,0.41915979981422424,-0.5343133211135864,0.5618249773979187,0.536112368106842,0.4356880784034729,-0.4666112959384918,0.8506494760513306,0.5138975977897644,0.43435829877853394,-0.5895786285400391,0.5407147407531738,0.5300652384757996,0.43128275871276855,-0.49744710326194763,0.8511244058609009,0.5193210244178772,0.4262670576572418,-0.6091639995574951,0.5432135462760925,0.5291248559951782,0.42435798048973083,-0.43869227170944214,0.8319787979125977,0.5188579559326172,0.42024487257003784,-0.5449938774108887,0.5287826657295227,0.5363128185272217,0.44596415758132935,0.011621924117207527,0.999557375907898,0.47699087858200073,0.4485117495059967,-0.011564748361706734,0.999402642250061,0.5601701736450195,0.5800089240074158,-0.024786990135908127,0.925502359867096,0.46307164430618286,0.5811077356338501,-0.048519037663936615,0.7674650549888611,0.5733979344367981,0.7008578777313232,0.1256755143404007,0.9629292488098145,0.43424472212791443,0.7034580707550049,0.10651221126317978,0.8664849400520325,0.568696141242981,0.7171252369880676,0.13038894534111023,0.8804584741592407,0.43291622400283813,0.7178387641906738,0.11201721429824829,0.7977796792984009,0.5936042070388794,0.7304791808128357,-0.04908633232116699,0.9503207206726074,0.43779510259628296,0.7427492141723633,-0.06699283421039581,0.8722735643386841
7,0.49699801206588745,0.27791500091552734,-0.6717633605003357,0.9984117746353149,0.5033245086669922,0.2659231424331665,-0.6610372066497803,0.9972648620605469,0.5068032145500183,0.26152995228767395,-0.6610748171806335,0.9972765445709229,0.5115225315093994,0.26057034730911255,-0.6610882878303528,0.9978063702583313,0.4895915389060974,0.26661232113838196,-0.6623489260673523,0.9964450597763062,0.48480233550071716,0.2661213278770447,-0.6624763607978821,0.995912492275238,0.48120230436325073,0.2657085359096527,-0.6624889373779297,0.996275782585144,0.5155946016311646,0.2569403648376465,-0.5122090578079224,0.9941166639328003,0.4764639735221863,0.2643207311630249,-0.5144655704498291,0.9916555881500244,0.5079703330993652,0.28186488151550293,-0.6071676015853882,0.9971662759780884,0.4913327693939209,0.28451651334762573,-0.6079780459403992,0.9959657788276672,0.5578048825263977,0.2908470630645752,-0.3413655459880829,0.9996329545974731,0.4483843743801117,0.3073441982269287,-0.3790495991706848,0.9991152286529541,0.563467264175415,0.35887032747268677,-0.32863983511924744,0.9523628950119019,0.46448415517807007,0.39081528782844543,-0.4115127921104431,0.6394708156585693,0.5463593006134033,0.4231303632259369,-0.45744672417640686,0.8980788588523865,0.508700430393219,0.43050646781921387,-0.5668271780014038,0.5995440483093262,0.5419322848320007,0.4455578923225403,-0.5009644627571106,0.8557367324829102,0.5169880390167236,0.4469730257987976,-0.6215881705284119,0.5774184465408325,0.535747766494751,0.4377591609954834,-0.5315126180648804,0.8562785983085632,0.5230289697647095,0.43877941370010376,-0.6417507529258728,0.5799396634101868,0.5334753394126892,0.4350966513156891,-0.4713384211063385,0.836638331413269,0.5224380493164062,0.43241947889328003,-0.5770752429962158,0.5640624761581421,0.5370479822158813,0.44667062163352966,0.010364904068410397,0.9995557069778442,0.4774612486362457,0.4497993588447571,-0.010312391445040703,0.9993997812271118,0.5601307153701782,0.5822604298591614,-0.035492077469825745,0.9316015243530273,0.4618450999259949,0.5832284092903137,-0.053095974028110504,0.7890709042549133,0.5734109878540039,0.7019062042236328,0.13288818299770355,0.9650357365608215,0.4364483952522278,0.7020888328552246,0.1191020980477333,0.8781668543815613,0.5672073364257812,0.7172406911849976,0.13981571793556213,0.8789364695549011,0.4364919066429138,0.7146952152252197,0.12641553580760956,0.7989280223846436,0.5911178588867188,0.7309916615486145,-0.040686771273612976,0.9530497193336487,0.43312111496925354,0.742053747177124,-0.05570412799715996,0.8826140761375427
8,0.49711209535598755,0.28283822536468506,-0.667112410068512,0.9983463287353516,0.5033742785453796,0.2712388336658478,-0.660174548625946,0.9970980286598206,0.5079633593559265,0.2702183127403259,-0.6602036952972412,0.9970679879188538,0.5118194222450256,0.2689451277256012,-0.6602527499198914,0.9976426362991333,0.488461971282959,0.2719886302947998,-0.6616285443305969,0.9963860511779785,0.4834335446357727,0.27140915393829346,-0.6617798209190369,0.9958572387695312,0.47947031259536743,0.2707913815975189,-0.661811888217926,0.9962617754936218,0.5166205763816833,0.26173853874206543,-0.5199881792068481,0.9936730861663818,0.47380486130714417,0.2678987681865692,-0.5238457918167114,0.9917298555374146,0.5083559155464172,0.2886229157447815,-0.6042526960372925,0.9970806241035461,0.49039608240127563,0.28886863589286804,-0.6056346893310547,0.9959395527839661,0.5582085251808167,0.291995644569397,-0.33570781350135803,0.9996510744094849,0.44592076539993286,0.30687999725341797,-0.37840721011161804,0.9991790056228638,0.5634550452232361,0.35220837593078613,-0.28071174025535583,0.9510781764984131,0.4564499855041504,0.38102322816848755,-0.35560375452041626,0.66666579246521,0.5489357709884644,0.4185459017753601,-0.3690703809261322,0.8956055641174316,0.49547234177589417,0.4310986399650574,-0.4567669928073883,0.6231452226638794,0.5442723035812378,0.4408273696899414,-0.40326792001724243,0.8513640761375427,0.5024983882904053,0.45007070899009705,-0.4989321827888489,0.5992467403411865,0.5373031497001648,0.4381893277168274,-0.43580061197280884,0.8523148894309998,0.5087757110595703,0.44279661774635315,-0.5251113772392273,0.6024903655052185,0.5352064967155457,0.4295026361942291,-0.38263949751853943,0.8312886953353882,0.5083202123641968,0.43527889251708984,-0.46749863028526306,0.5839015245437622,0.5357184410095215,0.4484241008758545,0.014586430974304676,0.9994946122169495,0.4741092324256897,0.45125284790992737,-0.014578481204807758,0.9993185997009277,0.5568240284919739,0.5807756781578064,-0.004656487610191107,0.9362618327140808,0.4620412290096283,0.5832401514053345,-0.03014756739139557,0.8075283765792847,0.5714760422706604,0.7019705772399902,0.15511742234230042,0.9664241075515747,0.43419378995895386,0.7010828852653503,0.1311425119638443,0.8879877924919128,0.5647417306900024,0.7174379229545593,0.16171739995479584,0.8771688938140869,0.43234261870384216,0.7129374146461487,0.13803642988204956,0.7976078391075134,0.5920336246490479,0.7317821979522705,-0.011287433095276356,0.9549144506454468,0.43847623467445374,0.7431074380874634,-0.037459030747413635,0.8910583257675171
9,0.49880295991897583,0.2854037284851074,-0.6928563714027405,0.9981023669242859,0.5059742331504822,0.2732561230659485,-0.6853128671646118,0.9966103434562683,0.5103333592414856,0.2720285952091217,-0.6853146553039551,0.9965362548828125,0.515125036239624,0.27073752880096436,-0.685373842716217,0.9972179532051086,0.49089574813842773,0.2741745114326477,-0.6883971095085144,0.9960581660270691,0.4853682518005371,0.273406982421875,-0.6885946989059448,0.9955235719680786,0.4812607169151306,0.27259397506713867,-0.688645601272583,0.9960079193115234,0.518073558807373,0.2627151608467102,-0.5394829511642456,0.9925731420516968,0.4746881127357483,0.2688225507736206,-0.550976574420929,0.9913456439971924,0.5097135901451111,0.29099875688552856,-0.6274719834327698,0.9966898560523987,0.49231117963790894,0.2912425398826599,-0.6310720443725586,0.9955775737762451,0.55814528465271,0.29298534989356995,-0.3385356068611145,0.9996652603149414,0.4452539086341858,0.3084317147731781,-0.39162206649780273,0.9992284774780273,0.563219428062439,0.35005903244018555,-0.23618879914283752,0.9461386799812317,0.45318740606307983,0.38468560576438904,-0.33350932598114014,0.6857616901397705,0.5475249290466309,0.41860976815223694,-0.28171032667160034,0.8822309970855713,0.49487581849098206,0.4371248781681061,-0.3922383189201355,0.630633533000946,0.5487396121025085,0.43344736099243164,-0.3059745728969574,0.834525465965271,0.5034071207046509,0.45667892694473267,-0.42462629079818726,0.6053241491317749,0.541988730430603,0.4311765730381012,-0.34122955799102783,0.8361636400222778,0.5091449022293091,0.44916877150535583,-0.4538799226284027,0.6096200942993164,0.5401849150657654,0.42237359285354614,-0.29495686292648315,0.8135749697685242,0.5079744458198547,0.4411250948905945,-0.4023420810699463,0.5871490836143494,0.5381971001625061,0.446331650018692,0.014628687873482704,0.9994436502456665,0.47658461332321167,0.4510800242424011,-0.014638550579547882,0.9992526769638062,0.5593112111091614,0.580085813999176,-0.007704028394073248,0.9400643110275269,0.46214690804481506,0.5844364166259766,-0.03294048458337784,0.8234187364578247,0.5743834972381592,0.7007793188095093,0.14570069313049316,0.9674229621887207,0.43561092019081116,0.702946662902832,0.11906614154577255,0.8959922790527344,0.5690110325813293,0.7168446779251099,0.15190604329109192,0.8756717443466187,0.4338912069797516,0.7152222394943237,0.12521317601203918,0.796384871006012,0.5922174453735352,0.7320590615272522,-0.023360103368759155,0.9562746286392212,0.4362030625343323,0.7428367733955383,-0.05233573913574219,0.8978483080863953
