phase,feedback,phase_score,key_frame
Address,Too much forward bend at address — stand slightly more upright,78.2,148
Address,Stance too wide at address — bring feet to shoulder width,78.2,148
Takeaway,Lead arm bent at takeaway checkpoint,75.3,166
Takeaway,Hip-shoulder separation low at takeaway position,75.3,166
Mid-backswing,Low hip-shoulder separation at mid-backswing,79.2,170
Mid-backswing,3D hip-shoulder separation low at mid-backswing,79.2,170
Top,Low hip-shoulder separation at top of swing,75.2,187
Top,3D shoulder rotation low at top of swing,75.2,187
Mid-downswing,Low hip-shoulder separation at mid-downswing,78.5,194
Mid-downswing,Shoulder rotation high relative to hips at mid-downswing,78.5,194
Finish,Shoulder rotation low at finish position,75.8,210
Finish,Limited weight transfer at finish — lead knee over-flexed,75.8,210
