phase,feedback,phase_score,key_frame
Address,Too much forward bend at address — stand slightly more upright,55.4,4
Address,Hands positioned too close to body at address,55.4,4
Takeaway,Lead arm bent at takeaway checkpoint,73.1,10
Mid-backswing,Low hip-shoulder separation at mid-backswing,71.2,17
Mid-backswing,3D hip-shoulder separation low at mid-backswing,71.2,17
Mid-downswing,Low hip-shoulder separation at mid-downswing,71.1,28
Mid-downswing,3D hip rotation low at mid-downswing,71.1,28
Impact,Lead arm bent at impact position,69.5,33
Impact,Hip rotation low at impact position,69.5,33
Follow-through,Lead arm bent at follow-through checkpoint,66.3,45
Follow-through,3D hip rotation low at follow-through,66.3,45
Finish,Shoulder rotation low at finish position,65.6,45
Finish,Hip rotation low at finish position,65.6,45
