phase,feedback,phase_score,key_frame
Address,Too much forward bend at address — stand slightly more upright,79.2,60
Address,Stance too narrow at address — widen to shoulder width,79.2,60
Takeaway,Lead arm bent at takeaway checkpoint,75.4,76
Takeaway,Hip-shoulder separation low at takeaway position,75.4,76
Mid-backswing,Low hip-shoulder separation at mid-backswing,69.6,81
Mid-backswing,3D hip-shoulder separation low at mid-backswing,69.6,81
Mid-downswing,Low hip-shoulder separation at mid-downswing,71.9,99
Mid-downswing,Shoulder rotation high relative to hips at mid-downswing,71.9,99
Impact,Lead arm bent at impact position,72.4,100
Impact,Wrist lag angle low at impact position,72.4,100
Follow-through,3D hip rotation low at follow-through,53.4,101
Follow-through,Shoulder rotation low at follow-through checkpoint,53.4,101
Finish,Limited weight transfer at finish — lead knee over-flexed,65.3,109
